@relation comentarios_base
@attribute comment string
@attribute classificador {positivo, negativo, neutro}
@data
"voto tudo bem todos podem inventar pec voto bem todos voto", positivo
"foro privilegiado vergonha nacional maior indecencia", neutro
"ter secia fazendo andar peito aberto coracao cheio amor pra dar", positivo
"bandidio mede nivel estudantil opiniao senador alvaro dias", negativo
"senador alvoro dias prepare faca basse solida apegue deus tudo pode vai ser presidente dessa grande nacao", negativo
"corruptos rabo preso lavajato perder previlegio logo provas ser preso", neutro
"serto pra privilegio nunca vou entender pode roubam pode fali brasil nada que absurdo", neutro
"populacao votar abrir mao foro maome vai montanha montanha vai maome", positivo
"parece houvindo esposa falando pra senha culular nada esconder bla bla bla quero ver politico ter oque esconder", neutro
"precisam justamente porque pouco honestos", positivo
"ministro supremo pediu vista ate hoje sentado cima", neutro
"hahahaha brincadera senador facil galinha ter dente hahaha", neutro
"verdade", positivo
"", neutro
"verdade pilantra quer ter beneficio disso", neutro
"foro privilegiado devem nada", neutro
"eunaoprecisodoforoprivilegiado sejapolitico sejahonesto", neutro
"valores principios pessoa bem vida", positivo
"verdade amigo falou tudo", negativo
"particularmente dispenso foro privilegiado", neutro
"foro privilegiado desonesto quer ficar impune", neutro
"vai ter votos senda senador alvaro dias", neutro
"duvida nenhuma deve teme", neutro
"ovai acabar problema dia outro", neutro
"fim foro", neutro
"deve precisa", positivo
"concordo senador alvaro dias", neutro
"exatamente", neutro
"verdade", neutro
"foro privilegiado imunidade parlamentar", neutro
"certeza senafor alvaro dias", neutro
"ministro pediu vista esqueceu gaveta", neutro
"senador deixa corruptos boicotar pregeto", neutro
"verdade", neutro
"stf endender", neutro
"foro previlegiado proteger politico ladrao", neutro
"verdade", positivo
"concordo numero grau", neutro
"certeza", neutro
"verdade", neutro
"verdade proximo presidente", neutro
"concordo", neutro
"falou tudo", neutro
"verdade nao deve nao teme", neutro
"duvida", neutro
"verdade", neutro
"senador", neutro
"certissimo", neutro
"concordo", neutro
"veron", positivo
"verdade gritante", negativo
"certeza", neutro
"pior poucos honestos", neutro
"favor foro ladrao", neutro
"vamos precionar fim privilegio", negativo
"sim", neutro
"bandido canalha safado ladrao crapula corrupto dentre outros precisa foro privilegiado ninguem acima lei", neutro
"", neutro
"", positivo
"brasil concorda plenamente", negativo
"honesto precisa ter medo militares ", neutro
"menos senador menos sujeito passou todo mandato escondendo sujeiras pois possui carteirinha tanto vinganca cassacao dilma agora abriu caixa pandora", negativo
"tragedia pais reforma previdencia poderia ter sido aprovada incompetencia apresentar denuncias ineptas obsessao derrubar presidente republica exemplo denunciou dilma lula vesperas saida pgr porque sabia dar nada janot sempre militante", positivo
"cara denunciou tripe poder corrupto pais pmdb psdb povo retardado achando corrupcao andava perna povo igual pais precisa inimigos cada bandido estimacao", positivo
"parabens janot senhor juntamente equipe toda equipe juiz sergio moro exemplos homens eticos honrados todo povo brasileiro diante tantos exemplos negativos homens publicos contemporaneos deus guie sempre", negativo
"congratulacoes janot cumpriu missao nenhum servidor publico jamais fez fez ocupando cargo maximo pgr dois lados dividem pais reclamam lado outro menos dois reclamam certamente fez bom trabalho proposito provavel proxima pgr vai substituilo torne nova engavetadora geral republica ser nada grande parcela populacao brasileira convive bem cinismo hipocrisia vai estar tudo certo engavetar geral desejo pessoal exemplo semente plantada janot equipe cresca ponto gerar bons frutos futuro pais problema terra onde semente plantada anda judiada hostil ultimos tempos talvez vingue juliano nascimento", positivo
"senador cola prestigio lado merece lavajato vale curitiba janot deixou tudo ultima semana existe briga governaram pais lula dilma temer janot protegeu tanto dilma parece lado nesta briga enquanto governo fez nada tao afoito caso joesley temer temer escapou feito pericia antes fita negociasse melhor batista historia outra lavajato curitiba pgr ficou devendo", negativo
"adcomunicacao muita gente alcancada porque cacife alto caras jbs escolheram alvos agora outros nomes vao aparecer duvido nova lava jato dona posicao comeca escolhendo parentes denunciados equipe acho vamos ter daqui frente grande circo", positivo
"feito trabalho seletividade denunciado dilma lula proprio lula disse ter formalidades indicado deve ainda claro cabeca qualquer eleitor portanto protegeu lula dilma porque fez denuncia contra proprio lula obstrucao justica dilma quis tornar ministro", positivo
"triste ver pessoas desqualificando trabalhos exercidos seriedade preciso respeito povo brasileiro brasil pais grandes riquezas justo fazendo povo morrendo culpa dessa gente corrupta escrupulosos colocam dinheiro acima qualquer coisa ganancia sobrepondo honestidade ter sobrepondo ser triste realidade vivendo", positivo
"dificil separar joio trigo muitos muitos muitos falaram explicaram fundamentaram fiasco legal juridico denuncias desse pavao rodrigo janot pode repetir coro manchetes precisamos pesquisar ouvir argumentacoes estarmos interessados aprender varias falas opinioes idolatria veneracao oportunismo cegueira senhor dono verdade", positivo
"nada feito lava jato forca curitiba desculpa senador agora hora sair cita renanjanot imparcial jogou carreira lixo conta gente senhor tentando salvalo", neutro
"saida restaram aliados chefe gang mal chefiado temer indicado gangster mesma laia falta trocar diretor policia federal cogitado temer tdo resolvido pro corruptos", neutro
"homem coragem facil desvendar tanta corrupcao lula dilma temer todos merecem desde ministra vai substituir janot desvie rumo investigacoes comeco meio fim punicao exemplar devedores", neutro
"agora senador deve ficar pgr nova procuradora sera pessoa imparcial conduta operacao lava jato ouvi dizer quer afastar alguns agentes", positivo
"senador cara ser bonzinho senhor minimo omisso caso moderado deveria estar cadeia agressivos joesley fachin deveriam estar trancafiados armacao estado brasileiro", neutro
"senador admiro desca muro aprendeu subir psdbsem mediano politiqueiro vai ficar caminhopronto falei", neutro
"esperou fazer denuncias fez vespera saida queria saber porque acho deve ter alguma coisa engavetada", positivo
"homem fez dever casacumpriu papel visando futuro vamos enganartem pecadinhos todos nospra dou nota sete", negativo
"procurador geral seletivo historia final mandato legado ser seletividade", neutro
"janot petista vingando temer mando dilma", neutro
"quero saber muda ideia revelarem maracutaias batistas lula dilma etc", positivo
"senadorporque juntar senadores favor lava jato luta pais serio honesto", positivo
"petralha enrrustido hora casa caiu saiu intimando meio mundo", negativo
"achei bastante seletivo porque demorou encaminhar processos juiz sergio moro exemplo nomeacao lula presidente dilma etcccccc", neutro
"janot brasil conhece senhor descreve sim protetor lula dilma poi sempre soub toda roubalheira agora citou onome dois cabeca ladroagem cita temer chefenos sabemos aue chefao lula temer aliado", negativo
"parabens janot pena perder pessoa justa hoje contar dedos pessoas meio politica justica empenha combater corrupcao assistimos diariamente judiciario fazendo desentendido atacando criticando combate corrupcao tratando investigados vitimas preocupados pois orcrim criando corpo novamente", neutro
"bom dia senador senador prefiro mil vezes janot nova pgr vai assumir nomeada temer", positivo
"independencia porque nunca acusou lula dilma antes desse escandalo todoacho parcial", neutro
"nada dissopassou tempo todo agradando petezadaso minutos tempo resolveu agir", positivo
"complicou caso jbs vai ter responder", negativo
"janot vagabundo petralha descarado dia chegou", neutro
"exemplo espero ser seguido continuando separando bons maus poderes", positivo
"convocado breve pra depor cpi jbs buraco embaixo", positivo
"acho tal xerifao pois realmente bancado denuncias contra luladrao entanto escondeu fez xerifao menos bem menos", neutro
"eee janot homem amado odiado amado povo odiado politicos", neutro
"epoca dava pra mediar posicoestenha coragem", negativo
"gracas janot politicos corruptos colarinho branco livres leves soltos vergonha total janot jamais representara lavajato lavajato orgulha curitiba desdobramentos outros estados foracorruptos forabandidos", negativo
"parabens janot grande guerreiro denunciou todos independente partidos muita coragem critica algum bandido estimacao sendo enganado querem denegrir orgaos justica buscam legalidade parabens obrigado", positivo
"apagar luzes mandato mexeu voou", negativo
"olha considerando votar alvaro dias dessas postagens perdeu voto", neutro
"esperar procuradora demonstrou ira trabalhar equipe janot quer dizer certamente ira favorecer temer", positivo
"parabens rodrigo janotpelo trabalho desempenhado procuradoria geral republica", negativo
"sim conte cara criminoso pior especie lixo ptralha", neutro
"parabens senador homenagear janot momento muitos criticam agora entendo pediu prisao irmaos batista primeira porque ambos consequencias corrupcao causa", positivo
"lendo alguns comentarios penso gente covarde nesse pais usa perfil falso expressar opinioes nojo gente assim", positivo
"agora temer nada bracada engavetadora republica vista anos queria queimar lingua", positivo
"fico feliz alvaro dias poder ler palavras pensava contrario achava corrupto", neutro
"lamentavel senador alvaro dias posicionamento consenso expoe pgr pior bosta", negativo
"parana parabens ter voce alvaro dias noso candidato presidente temo junto", positivo
"parabens janot combateu bom combate completou missao guardou", positivo
"senador senador pena tempo apurar email carissima presidenta armava contra lava jato pena vez tempo analisar caso refinaria pasadena tal ampliar pouquinho discurso elogios dar lidinha alto editorial estadao hoje stf escaldado venerado procurador colocou indicado fachin papos aranha cuidadinho palavras povo senador povo senador", neutro
"bandido faz barulho esperneia decentes precisam fazer algo senao minoria vigarista continuara poder", neutro
"pena porque nova procuradora denuncia contra temer tudo esquecido", positivo
"tomara sucessora esconda maracutaias bandidos colarinho branco", neutro
"friboi inocentes lula todas autoridades venderam culpados autoridades ser autoridades verdade vender soltem inocentes peguem dinheiro povo volta", neutro
"sei ainda cedo sentiremos saudades sinto apaga fogo caminho fim flechas bambu", neutro
"janot melhor pgr todos tempos infelizmente nao sera raquel dodge", neutro
"discordo totalmente vergonhoso", neutro
"", positivo
"positiva pros amigos dupla fachin janot", negativo
"conta otra eselencia baita mortadela", neutro
"historia joesley ainda deixando duvidas", neutro
"alvaro dias pode merecemos", neutro
"jaenganot engana", negativo
"parabens trabalho", positivo
"confio nesse sujeito provou ser vigarista", neutro
"feliz vai tarde", neutro
"parabens errou pouco acertou", neutro
"", neutro
"vou julgar jannotfechou bem encerramento", neutro
"alvaro diasjanot fachini brasil tudo ver", neutro
"estranhamente agiu tardiamente kkk", negativo
"substituta prometendo vai detonar lava jato", neutro
"", negativo
"exatamente faco coro ideias conclusoes", neutro
"todo bandido afetado tatica culpar autoridade janot", neutro
"sargento garcia maximo", neutro
"hoje churrasco todos lugares tarde janot", neutro
"jogando parceiro erradojanot solipsista", neutro
"tarde safado nunca bom", positivo
"parabens janot", negativo
"parabens janot", neutro
"concordo senador", neutro
"final meteu pes maos", positivo
"simplesmente palmas pro doutor janot", neutro
"sabias palavras presidente", positivo
"sei disso senador devagar andor", neutro
"diga marcelo muller", neutro
"sim cidadao brasileiro", neutro
"obrigada janot", neutro
"janot mostrado aqui", neutro
"tremendo bunda mole fez merda", negativo
"continuo entender nadakkkkkkkkkk", positivo
"janot rima complo", positivo
"parabens janot", positivo
"mim safado tendencioso", positivo
"encarou quadrilha", neutro
"janot petista tarde", negativo
"pode delatou antes porque delatou prender delatores porque fez tudo sozinhoalgo cola nessa conversa", negativo
"pulha janota voltara ser nada apenas verme preferiram atacar saida tirar reta old tony", neutro
"feliz domingo senador abs", neutro
"senador alvaro dias bom dia senhor candidato presidente voto", negativo
"perfeito", negativo
"", positivo
"senador indignacao ver televisao descaradamente divulgar propaganda campanha eleitoral focando volta expresidente lula divulgando numeros fantasiosos avancos imunizando responsabilidades sobre milhoes desempregados desmandos governo pmdb pergunta onde regulacao propagandas enganosas onde responsabilidade tse pode qualquer falar quer midia televisiva nenhuma regulacao", positivo
"politicos sofrem doenca gananciapensam somente proprio umbigonunca sonhei iria viver ver brasil chegar nivel corrupcao praticamente generalizadamuito triste", positivo
"atuais governantes brasileiros tanto federal quanto estaduais estao acabando educacao povo fique merce midia comprada partidos poderosos", neutro
"jeito coisas procede maisha defenda corruptos esperamos povo entenda perde brasil cidadaos brasileiros", neutro
"sim mete medo politico povo rua povo deveria conscientizar massa ruas espera moro vamos lutar direitos", neutro
"infelizmente politicos desse pais tao miseraveis preferem viver submundo plenamente pais melhor", positivo
"bom povo conseguir eleger politicos povo eleitos vao ficar precisando povo lembralos eleitos fazer certo justo usar recursos disponibilizam povo melhor acho sonho alto vamos ver dito maos", negativo
"brasileiros consciencia brasil futebol carnaval cerveja sim poderemos ter pouco esperanca", positivo
"nenhum senhores excelentissimos nobres congressistas fizeram absolutamente nada educacao excelentissimos fdp", neutro
"embora deem perceber politico acompanhando opiniao povo redes", positivo
"tremedeira politicos povo resolver rua povo conter bandos corruptos pmdb bando alem claro ambos partidos dizem inocentespensam povo bobo votar partido sim candidato nada desabone deve ser honesto dizer sempre verdade povo politico mentiroso chega senador alvaro dias nunca ouvi dizer nada respeito desabonasse senado federaltem outros senadores iguais senhor", positivo
"mesmoeducacao pais ouroinfelizmente interesse alguns mal intencionados politicos", negativo
"verdadeporque nao gosta politica acaba sendo governado gosto", neutro
"medo nada descaramento tanto cadeia continuam roubando sei bom presidente vai ganhar povo tao cansado quer linha dura exercito jair bolsonaro cansados tanta roubalheira impunidade descaso povo vamos dar basta devolve portugal vamos apagar luzes embora fininho", positivo
"todo mal administrador politico quer ter subalternos burros mal instruidos dai motivo educacao estar nivel vemos necessidade introduzir lixo lutando colocando", neutro
"intervencao militar agora eleicoes limparem tudo", negativo
"mete medo ainda povo informado desce muro senador", positivo
"redes sociais sentem ameacadosimaginem imensa multidao ruas", negativo
"sinceramente entendendo porque povo tao quietoa hora agora", positivo
"muitos politicos corruptos infelizmente povo dormindo acorda povo antes tarde", negativo
"senadorparabens lutar sempre prol pais", positivo
"agora queridos politicos sqn bem informados tudo sobre vocesporque guardando tudo internetnao esqueceremos tudo voces estao fazendo contra contra brasil mentiras corrupcoes enganacao voces fizeram pro povo brasileirobay bay queridos nunca", neutro
"educai eleitores ladroes eleitos ingenuidade eleitorado brasileiro causa proprias mazelas", neutro
"precisamos educacao basica qualidade iniciar processo conscientizacao nacao", negativo
"adianta ser consciente politicos corruptos ladroes benesses justica brasileira contaminada corruptos", positivo
"cuidem silencio penssa melhor ganancia tirar nacao brasileira dias contados brasileiros verdade podem ser pouco inteligente memoria bom experiencia deste momento", neutro
"povo rua pouco tempo colocou bandidos poder alias ajuda pato amarelo acamisa cbf corupta", neutro
"nobre senador apoia intervencao militar eleicoes", positivo
"oque falta nesse pais governo todos ruas rumo", positivo
"duro conseguir povo consciente bolsa familia anestesico provoca apatia desinteresse impassibilidade perda capacidade indignar", positivo
"verdade politicos mal intencionados fazem tanto sucesso brasil faturam alto", neutro
"mete medo politicos povo armadoe medo povo armado", neutro
"", negativo
"povo tbm mal intencionado mal nome ganancia", neutro
"povo tao consciente aceita robalheira boa haha", neutro
"falta", positivo
"corretissimo", negativo
"senador unica opcao coerente neste momento", positivo
"bom domingo futuro presidente", neutro
"consciente armado", neutro
"senadores querem ajudar povo vir ruas juntos", positivo
"precisamos tirar brasil maos politicos urgente", neutro
"dica dada ninguem pegou pena", neutro
"grandiosissima verdade", neutro
"verdade", neutro
"problema realmente povo sabe votar", positivo
"mal", neutro
"perfeito", negativo
"povo dormindo berco esplendido", neutro
"foro privilegiado", neutro
"irretocavel otimo domingo", neutro
"razao dao educacao", neutro
"safado veio junto medo nada", neutro
"precisamos voltarmos ruas", neutro
"governo investe educacao", negativo
"perfeito", neutro
"verdade", positivo
"infelizmente analfabeto pode votar", negativo
"verdade", neutro
"certeza", neutro
"vdd nunca", neutro
"vdd porisso hoje plateia", negativo
"deixando compartilhar", positivo
"", positivo
"verdadeira verdade", positivo
"sombras duvida apesar simpatizar bolsonarovejo senador ponto equilibrio presidir nacaopois gesticulador politico eficazcorremos risco sermos governados modelo governabilidade adotado collor base medidas provisoriasou pior eleger corrupto populista terrivel nacao", positivo
"povo burrooo", negativo
"todos general mourao", negativo
"errado maior medo forcas armadas ", positivo
"acorda brasil", positivo
"sim indignacao sentimento", negativo
"momento", positivo
"opiniao anos escandalos corrupcao local protestar deveria ser brasilia povo vive shows festas ano inteiro parece politicos corruptos levam serio grita alguma coisa estando show divertindo povo brasileiro leva nada serio povo", positivo
"problema basta indignar preciso participar discutir conhecer inteirarse assuntos politica politicos poder entao direcionar pessoas participacao politica efetiva equilibrada independente pessoas indignadas eleicao acabam votando mesmos sempre discurso tudo ladrao vou votar naquele maior afeicao votamos candidatos afeicao votamos levandose consideracao propostas projetos analisamos historicos politicos vida pregressa", neutro
"engracado povo ruas protestam precisam show bebida pra encorajar corruptos vao sair correndo lamentos shows sim participacao populacao atos especificos maioria artistas ficaram caladoss todos anos corrupcao dinheiro tava entrando via lei rouanetpq agora hipocrisia fizeram shows pra ajudar povo mariana brasileiro vocacao pra ser enganado pao circo liberdade mentira", neutro
"samuel faz parte porem maioria politicos brasileiros fazem exatamente criticou brasil melhorara povo exigente", neutro
"podiam usufruir rouanet ninguem protestava estranho", positivo
"queria discursar sobre corrupcao pro parlamento mostrar pra importancia sistema politico menor barato ate eficiente", neutro
"sim indignacao sentimento todos brasileiros sentindo hoje tantos corruptos ainda soltos", positivo
"indignacao outras epocas jovens estariam ruas caras pintadas", neutro
"daqui uns meses vem outro show povo acomodado vai gritar novo protesto vou rir", positivo
"presidente prejudica trabalhador brasileiros tirou real salario minimo tampar rombo fizeram bilhoes povo pagar roubou", positivo
"pena povo parece falando paredes", negativo
"verdadeiros artista compactuam roubalheira", neutro
"todo brasileiro isento honesto sente", neutro
"indignacao chegou ouvidos deveria ouvir", neutro
"musica embala sonho povo pais", neutro
"sempre", negativo
"verdadeiros brasileiroso brasil verde amarelo", neutro
"rock brasileiro cidadao brasileiros respeito admiracao", negativo
"breguice meses pra fazer protestomas escolhe dia festade alegria pra lembrar povo dessa tristeza quer chamar atencaosem falar deve estar ali patrocinado lei rouanet rock rio evento cultural hipocrisia puras", negativo
"povo brasileiro ter acesso conteudos vem mec ensinos escolas publicasassisti video ontemnao sei verdade sobre centralizacao escolassr alvaro dias dias verifique favor", positivo
"lider skank samuel rosa revela certo receio ser apedrejado analisar pais idade suficiente ver brasil mudou anos satisfeito ganhos algumas coisas melhoraram segundo nunca falou tanto sobre corrupcao condenou tanta gente manteria dilma acabar mandato instituicao democratica pesa contra nada roubou", neutro
"vai protestar brasilia fala etica critica colegas apresentaram palco mundo dizendo precisam comer feijao ohhhh pensando ultimo biscoito pacote cantou musicas velhas faz tanto sucesso", neutro
"grande reforcoporque evento nivel mundial hora justica acordar corruptos colocarem barbas molho proximo ano eleitoralquem sendo investigado cuidadosem foro priveligiadocadeia caminho", negativo
"parabens musico representa brasil falou tudo povo quer falar tem oportunidade porque acesso microfone bati palmas ouvindo falar show", negativo
"artistas brasileiros globais agindo partidariamente samuel notorio apoio politico questionar momento avo fez nenhum momento anos lembrou citar caso malas dinheiro bilhoes roubados pra faz diferenca", negativo
"assisti falou povo brasileiro cansado corrupcao manobras gente comprada escrupulosimpossivel ter indignacao", positivo
"onde qdo instalou governo corrupto historia calados aproveitando tal lei rouanet petistas enrustidos", negativo
"formalmente alguem mundo rock resolveu abrir boca renato russo alguns pingados roubam lei rouanet parabens samuel rosa", positivo
"maior babaquisse contratado aproveitando situacao promover", negativo
"indignacao nada apoiar corruptos importa partido ainda apoia aff", positivo
"tirando alguns petistas sao beneficiados politicos corruptos brasileros estap indignados politicos", positivo
"alguma coisa boa havia sair nesse grande evento valeu mito samuel nacao azul", positivo
"indignado corrupcao defende artistas perdem oportunidade aparecer", neutro
"outro dia defendia permanencia dilma governo indignacao seletiva vale", positivo
"crime hediondo crime corrupcao equando praticado homem publico torna crime traicao brasilque alem ser punido exemplarmente torna inelegivel toda vida tribunal militar julgar tais", positivo
"muita indignacao zero corrupcao chega quase viramos venezuelapara corruptos prisao todos", neutro
"ridiculo maioria povo sabe direito tao falando acham refrao musica todos palco gritando todos beneficiados lei ruant feio", negativo
"alvaro dias melhor governador parana melhor senador brasil poderia ter", positivo
"aproveitar todo meio comunicacao fazer mundo escute clamor errado consertar", neutro
"excelente todos repudio ladrao patria amada", positivo
"estado organizado pessoas colocadas concursos publicos limite ficar alem potencial economico pagamento final servidor publico garantir qualidade vida criar problemas barreiras servicos publicos essencias indignacao basta apenas inicio pois representa pessoa comeca tomar consciencia sobre assunto exempla jovens ver atitude corrupta errada", positivo
"parabens menos deu certo milhares jovens alienados", negativo
"indignacao musica ainda fazer tanto sentido quanto tempo musica ainda tao atual", neutro
"rockeiro pop ulartem manifestar lugar certo", neutro
"amigo aecio porque falou pra engana gosto", positivo
"preciso primeira mao reforma eleitoral politicos querendo impor", positivo
"cantores artistas soa verdadeiros brasileiros patriotas amam pais vivem custas governo lei rouanet trabalham dignidade parabens", neutro
"generalizar vale corrupcao imoral datas nomes", neutro
"gostaria saber indignacao fazendo festa pagando caro rock rio", neutro
"indignacao mosca asas ultrapassa janela casas skank", positivo
"oportunista cara sempre apoio governos lula dilma", positivo
"precisava cantores artistas integros acionadas publico mostrando realidade atual vivendo pais atitude maravilhosa brasil elevado situacao bem melhor", neutro
"show bom momento maravilhoso musica super real nova momento brasil vivendo", neutro
"todos lugares principalmente microfone mao obrigacao protestar contra corruptos pedir votem nessas figurinhas carimbadas policia federal", neutro
"kkk amigo aecioestranho esqueci aecio investigado", negativo
"parabens samuel todos nao medo vergonha espor verdade assassinos", positivo
"parabens pra grande banda grande vocalista todos fazer parte contra corruptos", negativo
"enlameado corrompido stf maioria orgaos publicos brasileiros enormes nefastos cabides empregos criados exclusivamente encostar vagabundos delinquentes estreitas relacoes promiscuas nomeadores todos direito salarios milionarios cargos vitalicios podendo nomear dezenas parasitas recebem salarios vultosos mordomias privilegios ilimitados jamais aparelhados contaminados orgaos inserviveis inchados vao servir pais brasileiros joelhos sempre irao atender todas ordens criminosos donospoliticos bandidos", neutro
"", positivo
"rock rio piada finacia trafico kkkkkkkkkkkkk", negativo
"mineirinho arretado pois pocando vagabas", neutro
"artistas nao fazem nada pra mudar situacao facil falar", positivo
"defendendo certas pessoas lula", neutro
"indignacao imensa", positivo
"falar mesmoquase todo brasil indignado", neutro
"bemsamuel", neutro
"falou apresentacao mesma bosta sempre", neutro
"parabens aplaudi ouvi falar", neutro
"homem honesto", neutro
"bosta apoiou aecio agora acha ruim corrupcao vai acordar", neutro
"temer", neutro
"povo cego burro ainda gente acha lula honesto pqp", neutro
"menos protestou", neutro
"anos poder bem calados bando canalhas hipocritas", neutro
"verdadeiro rock", neutro
"protestar contra urnas eletronicas povo confia", neutro
"samuel cara cabeca inteligente faco palavras", neutro
"protestar participar", neutro
"cara disse tudo encerrou show chave ouro", neutro
"arrasouuuuu samuel", neutro
"globo corrupcao temer lula", neutro
"rock bao nadakkk", positivo
"coro temer grande", negativo
"falou nada aecio apoiou", negativo
"bem obg brasil falido povo lascado tmj", neutro
"sim idignacao total", neutro
"falou tudo", neutro
"falou tudo astro musica parabens", neutro
"", positivo
"apoio", neutro
"aplausos", positivo
"bemprecisamos salvar pais", positivo
"momento vamos vamos", positivo
"samuel voce falo tudo bens", neutro
"rosa pegou dinheiro lei rouanet", neutro
"indignacao povo pagou caro show deveriam juntar pagar brasilia mostrar indignacao corruptos pessoalmente nocao dar basta novamente temer vai abrir comports", positivo
"temer vai gastar milhoes novamente passe processo camer deputados vai pagar infelizmente indignacao", positivo
"", negativo
"paulo gervasio", neutro
"iago haziel", negativo
"leda aparecida", neutro
"erros acertos reconhecer homem muita coragem viva janot merece medalha honra merito", neutro
"parabens trabalho dedicacao justica brasil", neutro
"parabens janot anos trabalho anos erros acertos respeito espero nova procuradora geral capacidade trabalho aguenta pressoes aguentou umas ferias merecidas", positivo
"parabens deus abencoe sempre merece vamos passar brasil maos limpar honra sempre homem aprender valor trabalho nunca honra honra morrer mata", neutro
"senador alvaro dias muitas controversias deixou desejar", positivo
"obrigado ter ajudado abrir olhos brasileiros deus abencoe proxima", negativo
"dedicouse combate corrupcao cumpriu papel cargo parabens janot", positivo
"parabens ardua missao desenvolveu sucesso nova empreitada", negativo
"importa partido importa etica cidadania lei unica todos", positivo
"vao sentir saudades rodrigo janot nova pgr vai mostrar porque escolhida desse presidente corrupto", negativo
"nunca confiei imparcialidade deste sujeito lavajato moro confiavel ministerio publico", negativo
"parabens janot fica olho corruptos", positivo
"parabens empenho ajudar povo brasileiro", positivo
"procurador coragem combatividade", positivo
"exemplo proximos", negativo
"excelente domingo familia todos amigos", negativo
"impossivel concordar cumpriu pivot autuacoes embaracosas delacao acougueiro tentativa derrubar temer", neutro
"alvaro dias depender voto lascado fica tempo todo elogiando petista encubado cara chega falando manso justificando rabo preso vamos aguardar cenas proximos capitulos vai vim noticias sobre procurador engracado proximo que povo enxerga envolvido maracutaia sabe defende bandido", neutro
"cara denunciou tripe poder corrupto pais pmdb psdb povo retardado achando corrupcao andava perna povo igual pais precisa inimigos cada bandido estimacao", neutro
"dependesentou cima processos batata assando lado cuspiu ventiladoralias geral todos servidores politico gari maioria funciona pressao", neutro
"senador alvaro dias polpe favor todos sabemos fez pode pra proteger junto acabou protegendo corruptos pmdb cia pra tentar saida honrosa veio denunciar temer agora meio tarde senhor acha espero estar enganada acho demorou demais protegeu muita gente enquanto pode", neutro
"cuidado senador defendendo janot soltou tudo ultima semana pgr pressao exercida forma delacao estranha imunidade favorendo irmaos batista muita agua vai rolar soltou denuncias ultima semana pgr quisera ter feito lula dilma mesma forma fazendo temer corrupto estimacao imunidade delacao batistas deu convercer forma feita", neutro
"melhor pgr todos cumpriu papel institucional denunciar tantos poderosos contrario todos passaram cargo fez todos outros pgr juntos proxima faca metade fez estara bom parabens rodrigo janot", neutro
"demais acaba aguardo ansiosa turminha mequetrefe heim defendeu puteiro enqto pode final jogou toda merda ventilador tao sujo qto", neutro
"cumpriu missao ajudar corruptos guardou ferrar brasileiros senador alvaro brincadeira subestime capacidade pessoaseste prucurador todo stf nomeado politico corrupto defender mesmos palhacada", neutro
"parabens procurador rodrigo janot realizou excelente trabalho cumpriu dever embora ainda ser feito povo brasileiro agradece esperamos sucessora continue trabalho forma competente eficaz", neutro
